Level 1,Level 2,Level 3,Product Name,Product Price,Product Link,sku,name1,name2,name3,sku_new,sku_new2,sku_new3,Handle,Tag,SEO Description,price,Product Category
OTHER BRANDS,ONEPLUS,OnePlus Nord N100, 3.87V 4890mAh Battery for OnePlus Nord N100/ 200 5G (BLP813),US 8.95,"https://www.mengtor.com/ONEPLUS/OnePlus-Nord-N100/PH-BT-OL-000050-3.87V-4890mAh-Battery-for-OnePlus-Nord-N100/-200-5G-(BLP813)/2382,2444/32671.html",PH-BT-OL-000050, 3.87V 4890mAh Battery , OnePlus Nord N100/ 200 5G (BLP813),OnePlus Nord N100 3.87V 4890mAh Battery ,OPP-BT-OL-000050,OPP-OG-025193,OPPFA183478,oneplus-nord-n100-3.87v-4890mah-battery-ZZ91,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",8.95,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus Nord N100, LCD Screen Digitizer Assembly for OnePlus Nord N100 - Black,US 14.95,https://www.mengtor.com/ONEPLUS/OnePlus-Nord-N100/PH-LCD-OL-000171BK-LCD-Screen-Digitizer-Assembly-for-OnePlus-Nord-N100---Black/2382/30843.html,PH-LCD-OL-000171BK, LCD Screen Digitizer Assembly , OnePlus Nord N100 - Black,OnePlus Nord N100 LCD Screen Digitizer Assembly ,OPP-LCD-OL-000171BK,OPP-ZP-515027,OPPHX898859,oneplus-nord-n100-lcd-screen-digitizer-assembly-SS55,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",14.95,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus Nord N100, LCD Screen Digitizer Assembly With Frame for OnePlus Nord N100 - Black,US 19.95,https://www.mengtor.com/ONEPLUS/OnePlus-Nord-N100/PH-LCD-OL-000173BK-LCD-Screen-Digitizer-Assembly-With-Frame-for-OnePlus-Nord-N100---Black/2382/31338.html,PH-LCD-OL-000173BK, LCD Screen Digitizer Assembly With Frame , OnePlus Nord N100 - Black,OnePlus Nord N100 LCD Screen Digitizer Assembly With Frame ,OPP-LCD-OL-000173BK,OPP-NM-639937,OPPUO749423,oneplus-nord-n100-lcd-screen-digitizer-assembly-with-frame-ST20,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",19.95,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus Nord N100, Tempered Glass Screen Protector for OnePlus Nord N100(Retail Packaging),US 0.99,https://www.mengtor.com/ONEPLUS/OnePlus-Nord-N100/MT-SP-OL-000160-Tempered-Glass-Screen-Protector-for-OnePlus-Nord-N100(Retail-Packaging)/2382/31278.html,MT-SP-OL-000160, Tempered Glass Screen Protector , OnePlus Nord N100(Retail Packaging),OnePlus Nord N100 Tempered Glass Screen Protector ,OPP-SP-OL-000160,OPP-PE-001625,OPPUY981388,oneplus-nord-n100-tempered-glass-screen-protector-ZP40,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",0.99,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus Nord N100, Charging Port with PCB board for OnePlus Nord N100,US 5.25,https://www.mengtor.com/ONEPLUS/OnePlus-Nord-N100/PH-CF-OL-000151-Charging-Port-with-PCB-board-for-OnePlus-Nord-N100/2382/31283.html,PH-CF-OL-000151, Charging Port with PCB board , OnePlus Nord N100,OnePlus Nord N100 Charging Port with PCB board ,OPP-CF-OL-000151,OPP-EJ-230795,OPPPB229997,oneplus-nord-n100-charging-port-with-pcb-board-FD36,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",5.25,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 11 5G, LCD Screen Digitizer Assembly for OnePlus 11 5G/ 10 Pro,US 114.95,"https://www.mengtor.com/ONEPLUS/OnePlus-10-Pro/PH-LCD-OL-000311BK-LCD-Screen-Digitizer-Assembly-for-OnePlus-11-5G/-10-Pro/2501,2587/33074.html",PH-LCD-OL-000311BK, LCD Screen Digitizer Assembly , OnePlus 11 5G/ 10 Pro,OnePlus 11 5G LCD Screen Digitizer Assembly ,OPP-LCD-OL-000311BK,OPP-CQ-571304,OPPQN548306,oneplus-11-5g-lcd-screen-digitizer-assembly-PK99,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",114.95,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 10T 5G, LCD Screen Digitizer Assembly for OnePlus 10T 5G - Black,US 35.95,https://www.mengtor.com/ONEPLUS/OnePlus-10T-5G/PH-LCD-OL-000321BK-LCD-Screen-Digitizer-Assembly-for-OnePlus-10T-5G---Black/2586/33075.html,PH-LCD-OL-000321BK, LCD Screen Digitizer Assembly , OnePlus 10T 5G - Black,OnePlus 10T 5G LCD Screen Digitizer Assembly ,OPP-LCD-OL-000321BK,OPP-ZT-473276,OPPLM655054,oneplus-10t-5g-lcd-screen-digitizer-assembly-XH07,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",35.95,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 10 Pro, LCD Screen Digitizer Assembly for OnePlus 11 5G/ 10 Pro,US 114.95,"https://www.mengtor.com/ONEPLUS/OnePlus-10-Pro/PH-LCD-OL-000311BK-LCD-Screen-Digitizer-Assembly-for-OnePlus-11-5G/-10-Pro/2501,2587/33074.html",PH-LCD-OL-000311BK, LCD Screen Digitizer Assembly , OnePlus 11 5G/ 10 Pro,OnePlus 10 Pro LCD Screen Digitizer Assembly ,OPP-LCD-OL-000311BK,OPP-FT-500846,OPPZJ624403,oneplus-10-pro-lcd-screen-digitizer-assembly-UO56,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",114.95,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 9 Pro, OLED Screen Digitizer Assembly for OnePlus 9 Pro - Black,US 151.95,https://www.mengtor.com/ONEPLUS/OnePlus-9-Pro/PH-LCD-OL-000261BK-OLED-Screen-Digitizer-Assembly-for-OnePlus-9-Pro---Black/2502/32177.html,PH-LCD-OL-000261BK, OLED Screen Digitizer Assembly , OnePlus 9 Pro - Black,OnePlus 9 Pro OLED Screen Digitizer Assembly ,OPP-LCD-OL-000261BK,OPP-IH-687411,OPPNX864168,oneplus-9-pro-oled-screen-digitizer-assembly-JM40,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",151.95,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 9 Pro, Charging Port with Flex Cable for OnePlus 9/ OnePlus 9 Pro,US 2.45,"https://www.mengtor.com/ONEPLUS/OnePlus-9/PH-CF-OL-000161-Charging-Port-with-Flex-Cable-for-OnePlus-9/-OnePlus-9-Pro/2502,2381/32178.html",PH-CF-OL-000161, Charging Port with Flex Cable , OnePlus 9/ OnePlus 9 Pro,OnePlus 9 Pro Charging Port with Flex Cable ,OPP-CF-OL-000161,OPP-FS-294910,OPPMH987423,oneplus-9-pro-charging-port-with-flex-cable-UZ85,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",2.45,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 9, Charging Port with Flex Cable for OnePlus 9/ OnePlus 9 Pro,US 2.45,"https://www.mengtor.com/ONEPLUS/OnePlus-9/PH-CF-OL-000161-Charging-Port-with-Flex-Cable-for-OnePlus-9/-OnePlus-9-Pro/2502,2381/32178.html",PH-CF-OL-000161, Charging Port with Flex Cable , OnePlus 9/ OnePlus 9 Pro,OnePlus 9 Charging Port with Flex Cable ,OPP-CF-OL-000161,OPP-LP-093437,OPPWS076514,oneplus-9-charging-port-with-flex-cable-AL81,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",2.45,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 9, LCD Screen Digitizer Assembly for OnePlus 9 - Black,US 89.95,https://www.mengtor.com/ONEPLUS/OnePlus-9/PH-LCD-OL-000251BK-LCD-Screen-Digitizer-Assembly-for-OnePlus-9---Black/2381/31517.html,PH-LCD-OL-000251BK, LCD Screen Digitizer Assembly , OnePlus 9 - Black,OnePlus 9 LCD Screen Digitizer Assembly ,OPP-LCD-OL-000251BK,OPP-UG-129092,OPPVR308464,oneplus-9-lcd-screen-digitizer-assembly-GH04,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",89.95,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 8 Pro, Power & Volume Flex Cable for OnePlus 8 Pro,US 0.10,"https://www.mengtor.com/ONEPLUS/OnePlus-Clearance-parts/PH-PF-OL-00035-Power-&-Volume-Flex-Cable-for-OnePlus-8-Pro/2265,1634,1399/29563.html",PH-PF-OL-00035, Power & Volume Flex Cable , OnePlus 8 Pro,OnePlus 8 Pro Power & Volume Flex Cable ,OPP-PF-OL-00035,OPP-QC-606773,OPPQZ780786,oneplus-8-pro-power-&-volume-flex-cable-VX09,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",0.10,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 8 Pro, Earpiece Speaker with Flex Cable for Oneplus 8/ 8 Pro,US 0.10,"https://www.mengtor.com/ONEPLUS/OnePlus-Clearance-parts/PH-ES-OL-000062-Earpiece-Speaker-with-Flex-Cable-for-Oneplus-8/-8-Pro/2264,2265,1634,1399/29565.html",PH-ES-OL-000062, Earpiece Speaker with Flex Cable , Oneplus 8/ 8 Pro,OnePlus 8 Pro Earpiece Speaker with Flex Cable ,OPP-ES-OL-000062,OPP-DB-290068,OPPBI128369,oneplus-8-pro-earpiece-speaker-with-flex-cable-CD53,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",0.10,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 8T, LCD Screen Digitizer Assembly for OnePlus 8T - Black,US 92.80,https://www.mengtor.com/ONEPLUS/OnePlus-8T/PH-LCD-OL-000191BK-LCD-Screen-Digitizer-Assembly-for-OnePlus-8T---Black/2339/30845.html,PH-LCD-OL-000191BK, LCD Screen Digitizer Assembly , OnePlus 8T - Black,OnePlus 8T LCD Screen Digitizer Assembly ,OPP-LCD-OL-000191BK,OPP-PC-500235,OPPRD165722,oneplus-8t-lcd-screen-digitizer-assembly-EV70,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",92.80,Electronics > Communications > Telephony
OTHER BRANDS,ONEPLUS,OnePlus 8T, Charging Port with Flex Cable for OnePlus 8T,US 2.95,https://www.mengtor.com/ONEPLUS/OnePlus-8T/PH-CF-OL-000121-Charging-Port-with-Flex-Cable-for-OnePlus-8T/2339/30831.html,PH-CF-OL-000121, Charging Port with Flex Cable , OnePlus 8T,OnePlus 8T Charging Port with Flex Cable ,OPP-CF-OL-000121,OPP-NR-706229,OPPRC312590,oneplus-8t-charging-port-with-flex-cable-LP78,"iphone repair,mobile repair,screen replacement,iphone battery replacement,iphone fix,back glass
repair,iphone fix,glass repair,phone repair","OnePhone Part is an e-commerce platform specializing in wholesale of mobile phone repair
components. We boast the lowest prices across the entire web, coupled with the highest
quality products. Our firm commitment to excellence is reflected in our steadfast partnerships
with raw material suppliers, rigorous quality control standards, and the provision of
outstanding customer service. We are dedicated to swiftly resolving user issues, ensuring a
seamless experience for our customers.",2.95,Electronics > Communications > Telephony
